Altium Designer Pick and Place Locations
C:\Users\gdr\Documents\darbai\Altium projects\RUT2CLOUD\Project Outputs for RUT2CLOUDPrjPcb\Pick Place\Pick Place for RUT2CLOUD_panel.csv

========================================================================================================================
File Design Information:

Date:       21-05-19
Time:       11:50
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"X3","8MHz","TopLayer","crystal_5032","47.0960","83.9400","180",""
"P10","ST-Link SWD","TopLayer","HDR1X4","57.0600","99.7200","360","Header, 4-Pin"
"R68","Res2","TopLayer","R0402","89.6400","95.6650","270",""
"R67","Res2","TopLayer","R0402","88.3100","95.1800","270",""
"P13","DX07S024JJ2R1300","TopLayer","DX07_USB_C","70.5600","103.2505","180","24P USB C DUAL SMT ON BOARD"
"P12","DX07S024JJ2R1300","TopLayer","DX07_USB_C","89.0700","103.2505","180","24P USB C DUAL SMT ON BOARD"
"P9","Li-Po Battery","TopLayer","104238-0210__MOLEX","79.8700","100.8200","90",""
"X2","32MHz","TopLayer","XTAL_3.5X2.5","50.5200","40.7800","270",""
"X1","32.768KHz","TopLayer","XTAL_3215","40.0761","53.0770","270",""
"U21","74LVC1G07","TopLayer","X2-DFN1410-6","62.2195","90.1950","360","SINGLE BUFFER/DRIVER WITH OPEN DRAIN OUTPUT"
"U20","STM32F103CBT6","TopLayer","QFP48_7X7","56.0210","90.2700","360","Medium-density performance line ARM-based 32-bit MCU with 64KB Flash"
"U19","USBULC6-2M6","TopLayer","MICRO_QFN_6L","70.4300","97.7250","90","Ultra large bandwidth ESD protection"
"U18","BME280","TopLayer","BME280","28.0700","104.7200","270",""
"U17","BH1730FVC","TopLayer","WSOF6","28.2244","96.7425","180","Digital 16bit Serial Output Type Ambient Light Sensor IC"
"U16","LIS2DW12","TopLayer","LGA-12_PACKAGE","27.4700","99.3613","360","MEMS digital output motion sensor: high-performance ultra-low-power 3-axis
"femto" accelerometer"
"U15","STLQ020J33R","TopLayer","FLIP-CHIP4","75.8700","82.0200","180","LDO"
